date,load,temperature
2015-01-02 05:15:00,43872.0,1.8280334
2015-01-02 05:30:00,44199.0,1.8280334
2015-01-02 05:45:00,44812.0,1.8280334
2015-01-02 06:00:00,45348.0,2.027771
2015-01-02 06:15:00,46079.0,2.027771
2015-01-02 06:30:00,47130.0,2.027771
2015-01-02 06:45:00,48224.0,2.027771
2015-01-02 07:00:00,49932.0,2.2789917
2015-01-02 07:15:00,50692.0,2.2789917
2015-01-02 07:30:00,51548.0,2.2789917
2015-01-02 07:45:00,52800.0,2.2789917
2015-01-02 08:00:00,53953.0,2.5769653
2015-01-02 08:15:00,54863.0,2.5769653
2015-01-02 08:30:00,55465.0,2.5769653
2015-01-02 08:45:00,56214.0,2.5769653
2015-01-02 09:00:00,57382.0,3.1846313
2015-01-02 09:15:00,57934.0,3.1846313
2015-01-02 09:30:00,58606.0,3.1846313
2015-01-02 09:45:00,59180.0,3.1846313
2015-01-02 10:00:00,59781.0,3.6714783
2015-01-02 10:15:00,60090.0,3.6714783
2015-01-02 10:30:00,60482.0,3.6714783
2015-01-02 10:45:00,60499.0,3.6714783
2015-01-02 11:00:00,61050.0,4.0643005
2015-01-02 11:15:00,61621.0,4.0643005
2015-01-02 11:30:00,61928.0,4.0643005
2015-01-02 11:45:00,62320.0,4.0643005
2015-01-02 12:00:00,62348.0,4.338043
2015-01-02 12:15:00,62064.0,4.338043
2015-01-02 12:30:00,61968.0,4.338043
2015-01-02 12:45:00,61508.0,4.338043
2015-01-02 13:00:00,61396.0,4.4899597
2015-01-02 13:15:00,61080.0,4.4899597
2015-01-02 13:30:00,60734.0,4.4899597
2015-01-02 13:45:00,60338.0,4.4899597
2015-01-02 14:00:00,60072.0,4.488037
2015-01-02 14:15:00,59850.0,4.488037
2015-01-02 14:30:00,59592.0,4.488037
2015-01-02 14:45:00,59291.0,4.488037
2015-01-02 15:00:00,59309.0,4.3294373
2015-01-02 15:15:00,59004.0,4.3294373
2015-01-02 15:30:00,58772.0,4.3294373
2015-01-02 15:45:00,58903.0,4.3294373
2015-01-02 16:00:00,59067.0,4.142029
2015-01-02 16:15:00,60139.0,4.142029
2015-01-02 16:30:00,60793.0,4.142029
2015-01-02 16:45:00,61648.0,4.142029
2015-01-02 17:00:00,62937.0,4.0546875
2015-01-02 17:15:00,63346.0,4.0546875
2015-01-02 17:30:00,63524.0,4.0546875
2015-01-02 17:45:00,63841.0,4.0546875
2015-01-02 18:00:00,64028.0,3.9909973
2015-01-02 18:15:00,63827.0,3.9909973
2015-01-02 18:30:00,63681.0,3.9909973
2015-01-02 18:45:00,63418.0,3.9909973
2015-01-02 19:00:00,62985.0,3.86438
2015-01-02 19:15:00,62225.0,3.86438
2015-01-02 19:30:00,61601.0,3.86438
2015-01-02 19:45:00,61111.0,3.86438
2015-01-02 20:00:00,59798.0,3.7473145
2015-01-02 20:15:00,58462.0,3.7473145
2015-01-02 20:30:00,57503.0,3.7473145
2015-01-02 20:45:00,56534.0,3.7473145
2015-01-02 21:00:00,56085.0,3.5794373
2015-01-02 21:15:00,55777.0,3.5794373
2015-01-02 21:30:00,55336.0,3.5794373
2015-01-02 21:45:00,55253.0,3.5794373
2015-01-02 22:00:00,55855.0,3.415802
2015-01-02 22:15:00,55217.0,3.415802
2015-01-02 22:30:00,54327.0,3.415802
2015-01-02 22:45:00,50358.0,3.415802
2015-01-02 23:00:00,49535.0,3.2919312
2015-01-02 23:15:00,48605.0,3.2919312
2015-01-02 23:30:00,47816.0,3.2919312
2015-01-02 23:45:00,46688.0,3.2919312
2015-01-03 00:00:00,45900.0,3.1910706
2015-01-03 00:15:00,44775.0,3.1910706
2015-01-03 00:30:00,44159.0,3.1910706
2015-01-03 00:45:00,43612.0,3.1910706
2015-01-03 01:00:00,43157.0,3.0861816
2015-01-03 01:15:00,42397.0,3.0861816
2015-01-03 01:30:00,41994.0,3.0861816
2015-01-03 01:45:00,41591.0,3.0861816
2015-01-03 02:00:00,41371.0,2.9901733
2015-01-03 02:15:00,40813.0,2.9901733
2015-01-03 02:30:00,40710.0,2.9901733
2015-01-03 02:45:00,40662.0,2.9901733
2015-01-03 03:00:00,40666.0,2.8174438
2015-01-03 03:15:00,40630.0,2.8174438
2015-01-03 03:30:00,40718.0,2.8174438
2015-01-03 03:45:00,40761.0,2.8174438
2015-01-03 04:00:00,41215.0,2.687439
2015-01-03 04:15:00,41033.0,2.687439
2015-01-03 04:30:00,41033.0,2.687439
2015-01-03 04:45:00,41044.0,2.687439
2015-01-03 05:00:00,41278.0,2.538971
2015-01-03 05:15:00,41011.0,2.538971
2015-01-03 05:30:00,41045.0,2.538971
2015-01-03 05:45:00,41898.0,2.538971
2015-01-03 06:00:00,42116.0,2.427887
2015-01-03 06:15:00,42237.0,2.427887
2015-01-03 06:30:00,42762.0,2.427887
2015-01-03 06:45:00,43273.0,2.427887
2015-01-03 07:00:00,43812.0,2.3492126
2015-01-03 07:15:00,44617.0,2.3492126
2015-01-03 07:30:00,45383.0,2.3492126
2015-01-03 07:45:00,46246.0,2.3492126
2015-01-03 08:00:00,47311.0,2.3364258
